D0307 08:48:53.028847422   25575 ev_posix.cc:172]            Using polling engine: epollex
D0307 08:48:53.029968764   25575 lb_policy_registry.cc:42]   registering LB policy factory for "grpclb"
D0307 08:48:53.030155559   25575 lb_policy_registry.cc:42]   registering LB policy factory for "priority_experimental"
D0307 08:48:53.030254932   25575 lb_policy_registry.cc:42]   registering LB policy factory for "weighted_target_experimental"
D0307 08:48:53.030325934   25575 lb_policy_registry.cc:42]   registering LB policy factory for "pick_first"
D0307 08:48:53.030400596   25575 lb_policy_registry.cc:42]   registering LB policy factory for "round_robin"
D0307 08:48:53.030496589   25575 lb_policy_registry.cc:42]   registering LB policy factory for "ring_hash_experimental"
D0307 08:48:53.030566141   25575 dns_resolver_ares.cc:619]   Using ares dns resolver
D0307 08:48:53.031325553   25575 certificate_provider_registry.cc:33] registering certificate provider factory for "file_watcher"
D0307 08:48:53.031425815   25575 lb_policy_registry.cc:42]   registering LB policy factory for "cds_experimental"
D0307 08:48:53.031529828   25575 lb_policy_registry.cc:42]   registering LB policy factory for "xds_cluster_impl_experimental"
D0307 08:48:53.031620041   25575 lb_policy_registry.cc:42]   registering LB policy factory for "xds_cluster_resolver_experimental"
D0307 08:48:53.031695233   25575 lb_policy_registry.cc:42]   registering LB policy factory for "xds_cluster_manager_experimental"
I0307 08:48:53.031758065   25575 timer_manager.cc:88]        Spawn timer thread
I0307 08:48:53.031842507   25575 init.cc:196]                grpc_init(void)
I0307 08:48:53.032067563   25575 init.cc:196]                grpc_init(void)
I0307 08:48:53.032220588   25575 chttp2_connector.cc:394]    grpc_secure_channel_create(target=127.0.0.1:50051, creds=0x207b2d0, args=0x7ffd79334a50)
I0307 08:48:53.042593601   25579 timer_generic.cc:705]       TIMER CHECK BEGIN: now=1734 next=9223372036854775807 tls_min=0 glob_min=1720
I0307 08:48:53.042664313   25579 timer_generic.cc:603]         .. shard[0]->min_deadline = 1721
I0307 08:48:53.042706854   25579 timer_generic.cc:518]         .. shard[0]: heap_empty=true
I0307 08:48:53.042773746   25579 timer_generic.cc:489]         .. shard[0]->queue_deadline_cap --> 2734
I0307 08:48:53.042812647   25579 timer_generic.cc:563]         .. shard[0] popped 0
I0307 08:48:53.042847358   25579 timer_generic.cc:622]         .. result --> 1, shard[0]->min_deadline 1721 --> 2735, now=1734
I0307 08:48:53.042892019   25579 timer_generic.cc:518]         .. shard[1]: heap_empty=true
I0307 08:48:53.042930880   25579 timer_generic.cc:489]         .. shard[1]->queue_deadline_cap --> 2734
I0307 08:48:53.042966021   25579 timer_generic.cc:563]         .. shard[1] popped 0
I0307 08:48:53.043000262   25579 timer_generic.cc:622]         .. result --> 1, shard[1]->min_deadline 1721 --> 2735, now=1734
I0307 08:48:53.043043353   25579 timer_generic.cc:518]         .. shard[2]: heap_empty=true
I0307 08:48:53.043081544   25579 timer_generic.cc:489]         .. shard[2]->queue_deadline_cap --> 2734
I0307 08:48:53.043117225   25579 timer_generic.cc:563]         .. shard[2] popped 0
I0307 08:48:53.043150566   25579 timer_generic.cc:622]         .. result --> 1, shard[2]->min_deadline 1721 --> 2735, now=1734
I0307 08:48:53.043200518   25579 timer_generic.cc:518]         .. shard[3]: heap_empty=true
I0307 08:48:53.043237189   25579 timer_generic.cc:489]         .. shard[3]->queue_deadline_cap --> 2734
I0307 08:48:53.043272160   25579 timer_generic.cc:563]         .. shard[3] popped 0
I0307 08:48:53.043306911   25579 timer_generic.cc:622]         .. result --> 1, shard[3]->min_deadline 1721 --> 2735, now=1734
I0307 08:48:53.043344282   25579 timer_generic.cc:518]         .. shard[4]: heap_empty=true
I0307 08:48:53.043380343   25579 timer_generic.cc:489]         .. shard[4]->queue_deadline_cap --> 2734
I0307 08:48:53.043414334   25579 timer_generic.cc:563]         .. shard[4] popped 0
I0307 08:48:53.043448865   25579 timer_generic.cc:622]         .. result --> 1, shard[4]->min_deadline 1721 --> 2735, now=1734
I0307 08:48:53.043545228   25579 timer_generic.cc:518]         .. shard[5]: heap_empty=true
I0307 08:48:53.043586539   25579 timer_generic.cc:489]         .. shard[5]->queue_deadline_cap --> 2734
I0307 08:48:53.043621850   25579 timer_generic.cc:563]         .. shard[5] popped 0
I0307 08:48:53.043656381   25579 timer_generic.cc:622]         .. result --> 1, shard[5]->min_deadline 1721 --> 2735, now=1734
I0307 08:48:53.043693472   25579 timer_generic.cc:518]         .. shard[6]: heap_empty=true
I0307 08:48:53.043729143   25579 timer_generic.cc:489]         .. shard[6]->queue_deadline_cap --> 2734
I0307 08:48:53.043764364   25579 timer_generic.cc:563]         .. shard[6] popped 0
I0307 08:48:53.043797485   25579 timer_generic.cc:622]         .. result --> 1, shard[6]->min_deadline 1721 --> 2735, now=1734
I0307 08:48:53.043839626   25579 timer_generic.cc:518]         .. shard[7]: heap_empty=true
I0307 08:48:53.043876437   25579 timer_generic.cc:489]         .. shard[7]->queue_deadline_cap --> 2734
I0307 08:48:53.043911378   25579 timer_generic.cc:563]         .. shard[7] popped 0
I0307 08:48:53.043944589   25579 timer_generic.cc:622]         .. result --> 1, shard[7]->min_deadline 1721 --> 2735, now=1734
I0307 08:48:53.043986620   25579 timer_generic.cc:518]         .. shard[8]: heap_empty=true
I0307 08:48:53.044024261   25579 timer_generic.cc:489]         .. shard[8]->queue_deadline_cap --> 2734
I0307 08:48:53.044058652   25579 timer_generic.cc:563]         .. shard[8] popped 0
I0307 08:48:53.044092533   25579 timer_generic.cc:622]         .. result --> 1, shard[8]->min_deadline 1721 --> 2735, now=1734
I0307 08:48:53.044129574   25579 timer_generic.cc:518]         .. shard[9]: heap_empty=true
I0307 08:48:53.044165495   25579 timer_generic.cc:489]         .. shard[9]->queue_deadline_cap --> 2734
