D0321 21:24:06.857960018   22413 ev_posix.c:101]             Using polling engine: poll
I0321 21:24:06.858150475   22413 init.c:188]                 grpc_init(void)
I0321 21:24:06.858168597   22413 init.c:188]                 grpc_init(void)
I0321 21:24:06.858182348   22413 completion_queue.c:129]     grpc_completion_queue_create(reserved=(nil))
I0321 21:24:06.858227632   22413 server.c:984]               grpc_server_create(0x7ffca85c6c10, (nil))
I0321 21:24:06.858730747   22413 server.c:968]               grpc_server_register_completion_queue(server=0x947040, cq=0x944e00, reserved=(nil))
I0321 21:24:06.858766810   22413 server.c:1030]              grpc_server_register_method(server=0x947040, method=/grpcfs.FileSystem/UploadFile, host=(null), flags=0x00000000)
I0321 21:24:06.858784452   22413 metadata_array.c:42]        grpc_metadata_array_init(array=0x94ab50)
I0321 21:24:06.858803074   22413 server.c:1030]              grpc_server_register_method(server=0x947040, method=/grpcfs.FileSystem/DownloadFile, host=(null), flags=0x00000000)
I0321 21:24:06.858815625   22413 metadata_array.c:42]        grpc_metadata_array_init(array=0x94b8f0)
I0321 21:24:06.858862709   22413 server.c:1030]              grpc_server_register_method(server=0x947040, method=/grpc.reflection.v1alpha.ServerReflection/ServerReflectionInfo, host=(null), flags=0x00000000)
I0321 21:24:06.858877380   22413 metadata_array.c:42]        grpc_metadata_array_init(array=0x947b40)
I0321 21:24:06.858902562   22413 server_chttp2.c:94]         grpc_server_add_insecure_http2_port(server=0x947040, addr=12.8.10.72:50051)
I0321 21:24:06.858935215   22413 rdma_server_posix.c:185]    src/core/lib/iomgr/rdma_server_posix.c:grpc_rdma_server_create end
D0321 21:24:06.858971479   22413 rdma_server_posix.c:733]    add_listener_to_server
D0321 21:24:06.858998001   22413 rdma_utils_posix.c:24]      ADDR: AF_INET addr:12.8.10.72:50051 port:50051
I0321 21:24:06.862528747   22413 server.c:1064]              grpc_server_start(server=0x947040)
I0321 21:24:06.862997879   22413 metadata_array.c:42]        grpc_metadata_array_init(array=0x7ffca85c6bf0)
I0321 21:24:06.863026341   22413 metadata_array.c:47]        grpc_metadata_array_destroy(array=0x7ffca85c6bf0)
I0321 21:24:06.863041703   22413 completion_queue.c:129]     grpc_completion_queue_create(reserved=(nil))
I0321 21:24:06.863061114   22413 server.c:1413]              grpc_server_request_registered_call(server=0x947040, rmp=0x94b7f0, call=0x94ab30, deadline=0x94ab40, initial_metadata=0x94ab50, optional_payload=(nil), cq_bound_to_call=0x941bb0, cq_for_notification=0x944e00, tag=0x94ab10)
I0321 21:24:06.863079686   22413 completion_queue.c:129]     grpc_completion_queue_create(reserved=(nil))
I0321 21:24:06.863092957   22413 server.c:1413]              grpc_server_request_registered_call(server=0x947040, rmp=0x947d00, call=0x94b8d0, deadline=0x94b8e0, initial_metadata=0x94b8f0, optional_payload=0x94b908, cq_bound_to_call=0x944360, cq_for_notification=0x944e00, tag=0x94b8b0)
I0321 21:24:06.863103878   22413 completion_queue.c:129]     grpc_completion_queue_create(reserved=(nil))
I0321 21:24:06.863116089   22413 server.c:1413]              grpc_server_request_registered_call(server=0x947040, rmp=0x9479e0, call=0x947b20, deadline=0x947b30, initial_metadata=0x947b40, optional_payload=(nil), cq_bound_to_call=0x947760, cq_for_notification=0x944e00, tag=0x947b00)
I0321 21:24:06.863126970   22413 completion_queue.c:129]     grpc_completion_queue_create(reserved=(nil))
I0321 21:24:06.863146232   22413 call_details.c:42]          grpc_call_details_init(cd=0x941010)
I0321 21:24:06.863160403   22413 server.c:1371]              grpc_server_request_call(server=0x947040, call=0x94adf0, details=0x941010, initial_metadata=0x94ae10, cq_bound_to_call=0x9502e0, cq_for_notification=0x944e00, tag=0x94add0)
I0321 21:24:06.863276394   22421 completion_queue.c:323]     grpc_completion_queue_next(cc=0x944e00, deadline=gpr_timespec { tv_sec: 9223372036854775807, tv_nsec: 0, clock_type: 1 }, reserved=(nil))
